reason,legacyCredit,deckCount,sampleDecks,reviewNote
"ambiguous separator","Bhavesh & Reena Mistry","2","Forbidden Forest | Kings of India","Kept as one Designer; split or rename manually if this represents multiple credits."
"ambiguous separator","Dan & Dave","1","Eames Starburst Black","Kept as one Designer; split or rename manually if this represents multiple credits."
"ambiguous separator","Dan & Dave Buck","4","James Coffee | James Coffee Black | James Coffee Orange | James Coffee Green","Kept as one Designer; split or rename manually if this represents multiple credits."
"ambiguous separator","Fede & Lene","7","Elves Forest | Elves Mire Gold Gilded | Elves Galad Green Gilded | Elves Prototype | Secret of the Sea Prototype","Kept as one Designer; split or rename manually if this represents multiple credits."
"ambiguous separator","Jenny & Fabiana","2","Swordswomen | Swordswomen Tarot","Kept as one Designer; split or rename manually if this represents multiple credits."
"ambiguous separator","Jiken & Jathan","2","The Universe - Space Man | The Universe - Unidentified","Kept as one Designer; split or rename manually if this represents multiple credits."
"ambiguous separator","Tomski & Polanski","1","Highland Fauna","Kept as one Designer; split or rename manually if this represents multiple credits."
"ambiguous separator","Yif & Celine","1","Bebel","Kept as one Designer; split or rename manually if this represents multiple credits."
